No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q35.html"",""平成28年秋期 問35"")",2026/9/17
2,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q36.html"",""令和3年秋期 問36"")",2026/9/17
3,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q58.html"",""平成18年秋期 問58"")",2026/9/17
4,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q35.html"",""令和2年秋期 問35"")",2026/9/17
5,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q59.html"",""平成18年秋期 問59"")",2026/9/17
6,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q32.html"",""平成31年春期 問32"")",2026/9/17
7,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q57.html"",""平成18年春期 問57"")",2026/9/17
8,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q38.html"",""平成22年春期 問38"")",2026/9/17
9,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q58.html"",""平成20年秋期 問58"")",2026/9/17
10,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q39.html"",""平成22年春期 問39"")",2026/9/17
11,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q31.html"",""平成27年春期 問31"")",2026/9/17
12,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q74.html"",""平成17年秋期 問74"")",2026/9/17
13,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q50.html"",""平成17年春期 問50"")",2026/9/17
14,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q31.html"",""令和5年春期 問31"")",2026/9/17
15,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q31.html"",""平成28年秋期 問31"")",2026/9/17
16,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q32.html"",""令和6年春期 問32"")",2026/9/17
17,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q52.html"",""平成20年秋期 問52"")",2026/9/17
18,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q32.html"",""令和3年秋期 問32"")",2026/9/17
19,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q33.html"",""平成27年秋期 問33"")",2026/9/17
20,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q35.html"",""令和7年秋期 問35"")",2026/9/17
21,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q31.html"",""令和元年秋期 問31"")",2026/9/17
22,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q30.html"",""令和6年春期 問30"")",2026/9/17
23,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q36.html"",""平成25年秋期 問36"")",2026/9/17
24,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q31.html"",""令和7年春期 問31"")",2026/9/17
25,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q52.html"",""平成18年秋期 問52"")",2026/9/17
26,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q56.html"",""平成17年春期 問56"")",2026/9/17
27,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q32.html"",""令和7年秋期 問32"")",2026/9/17
28,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q32.html"",""平成27年秋期 問32"")",2026/9/17
29,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q33.html"",""令和5年春期 問33"")",2026/9/17
30,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q51.html"",""平成18年春期 問51"")",2026/9/17
