No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q10.html"",""平成21年春期 問10"")",2026/9/1
2,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q11.html"",""令和6年秋期 問11"")",2026/9/1
3,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q20.html"",""平成20年秋期 問20"")",2026/9/1
4,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q8.html"",""令和7年春期 問8"")",2026/9/1
5,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q21.html"",""平成17年秋期 問21"")",2026/9/1
6,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q11.html"",""令和元年秋期 問11"")",2026/9/1
7,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q10.html"",""平成23年特別 問10"")",2026/9/1
8,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q10.html"",""令和元年秋期 問10"")",2026/9/1
9,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q10.html"",""平成27年秋期 問10"")",2026/9/1
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q13.html"",""平成22年秋期 問13"")",2026/9/1
11,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q20.html"",""平成18年秋期 問20"")",2026/9/1
12,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q10.html"",""令和5年秋期 問10"")",2026/9/1
13,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q9.html"",""平成22年秋期 問9"")",2026/9/1
14,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q12.html"",""平成24年秋期 問12"")",2026/9/1
15,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q10.html"",""平成30年春期 問10"")",2026/9/1
16,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q9.html"",""令和2年秋期 問9"")",2026/9/1
17,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q18.html"",""平成17年秋期 問18"")",2026/9/1
18,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q22.html"",""平成20年秋期 問22"")",2026/9/1
19,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q22.html"",""平成17年秋期 問22"")",2026/9/1
20,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q19.html"",""平成17年春期 問19"")",2026/9/1
21,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q9.html"",""令和4年秋期 問9"")",2026/9/1
22,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q20.html"",""平成17年秋期 問20"")",2026/9/1
23,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q10.html"",""平成27年春期 問10"")",2026/9/1
24,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q9.html"",""令和3年春期 問9"")",2026/9/1
25,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q11.html"",""平成31年春期 問11"")",2026/9/1
26,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q21.html"",""平成28年春期 問21"")",2026/9/1
27,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q11.html"",""平成23年秋期 問11"")",2026/9/1
28,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q9.html"",""平成28年秋期 問9"")",2026/9/1
29,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q11.html"",""令和6年春期 問11"")",2026/9/1
30,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q17.html"",""平成17年秋期 問17"")",2026/9/1
